State,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2,drinkability
Haryana,8.96,6658,60,293,993,1570,4.2,0,460,40,88,1314,62,5,3994.8,2,0
Haryana,9.06,1495,48,403,213,35,15,0,360,24,73,153,59,0.7,897,11,0
Haryana,8.91,3784,36,244,922,317,25,0,881,32,195,471,12,0.28,2270.4,12,0
Haryana,8.81,2742,48,574,475,153,24,0,540,16,122,208,326,1.1,1645.2,10,0
Haryana,8.54,10240,24,354,1808,2197,25,0,700,72,126,983,1875,0.89,6144,9,0
Haryana,9.03,1010,48,415,28,97,13,0,40,8,0,237,16,10,606,2,0
Haryana,8.94,1275,48,525,57,101,7.1,0,130,20,19,136,232,0.2,765,28,0
Haryana,8.93,960,48,378,57,21,0,0,90,12,15,192.4,2.2,5.4,576,3,0
Haryana,8.83,1108,12,256,85,195,21,0,250,40,36,149,2.4,0.68,664.8,7,1
Haryana,9.02,1768,84,635,128,109,6.9,0,320,12,71,294,11,1,1060.8,11,0
Haryana,9,2863,36,330,347,600,19,0,550,48,105,416,14,2,1717.8,17,0
Haryana,8.87,3970,96,586,666,401,37,0,701,16,161,537,132,0.55,2382,35,0
Haryana,9.01,1994,72,586,270,67,13,0,210,20,39,302,159,0.18,1196.4,27,0
Haryana,9.01,885,36,256,43,108,2,0,270,20,53,81,5.4,0.16,531,25,1
Haryana,8.96,671,24,183,64,49,8.9,0,210,44,24,57,14,0.09,402.6,20,1
Haryana,8.57,2942,12,159,447,716,12,0,791,160,95,349,16,0.18,1765.2,31,0
Haryana,8.99,2728,60,293,312,581,22,0,430,36,83,288,261,0.86,1636.8,19,0
Haryana,8.15,4473,0,732,588,801,25,0,671,80,114,612,248,0.53,2683.8,19,0
Haryana,8.74,1404,24,183,284,107,3.9,0,320,40,54,160,40,0.58,842.4,18,1
Haryana,8.05,889,0,403,28,107,3.2,0,400,60,61,40,6.2,0.67,533.4,23,1
Haryana,7.98,7267,0,293,1801,809,22,0,1681,393,170,897,43,0.33,4360.2,13,0
Haryana,8.85,4623,24,317,709,985,9.1,0,550,64,95,819,31,1.7,2773.8,19,0
Haryana,8.57,906,24,207,113,88,19,0,330,36,58,58,21,0.61,543.6,27,1
Haryana,9,338,12,134,14,0,0.4,0,150,28,19,2.6,0,0.25,202.8,16,1
Haryana,8.75,626,12,171,14,122,13,0,220,40,29,48,0,0.4,375.6,21,1
Haryana,8.89,1431,36,415,85,231,8.7,0,120,16,19,301,15,2.9,858.6,19,0
Haryana,8.86,804,24,281,50,62,11,0,260,28,46,73,5.5,0.2,482.4,21,1
Haryana,8.92,641,24,220,40,42,0.7,0,170,24,27,73,2.5,0.33,384.6,26,1
Haryana,8.41,4645,12,171,830,797,251,0,1371,144,246,348,245,0.36,2787,21,0
Haryana,8.33,739,36,195,106,54,15,0,250,24,46,85,7.4,0.42,443.4,19,1
Haryana,8.24,1855,0,220,383,247,15,0,340,40,58,304,7,0.4,1113,15,1
Haryana,8.5,2490,60,122,546,224,35,0,480,48,8.55,350,0,0.62,1494,29,0
Haryana,8.7,6930,144,354,1212,1233,9.1,0,800,28,177,972,537,0.62,4158,22,0
Haryana,8.72,1242,84,220,191,104,16,0,280,32,48,203,1.6,0.8,745.2,21,0
Haryana,8.66,1132,84,183,163,108,9.1,0,210,20,39,203,0,0.95,679.2,21,0
Haryana,8.64,1460,60,219,305,107,7.2,0,413,56,66,197,0,0.49,876,16,0
Haryana,8.74,1114,120,366,78,12,1.6,0,150,40,12,219,6.6,0.86,668.4,22,0
Haryana,8.71,2220,144,464,298,144,14,0,350,36,63,395,2,0.49,1332,20,0
Haryana,8.83,5920,156,732,1198,522,27,0,1020,56,214,873,166,0.72,3552,20,0
Haryana,8.75,2550,144,366,361,297,14,0,250,16,51,503,37,0.9,1530,21,0
Haryana,8.76,1934,192,488,184,62,25,0,140,28,17,425,15,0.89,1160.4,28,0
Haryana,8.79,1911,120,293,262,213,12,0,210,24,36,380,13,0.61,1146.6,24,0
Haryana,8.52,5200,84,207,1092,835,21,0,901,44,192,651,338,0.55,3120,24,0
Haryana,7.75,7430,0,183,1978,751,23,0,1991,489,187,762,87,0.53,4458,28,0
Haryana,8.12,3280,0,195,702,554,3.5,0,1010,136,163,248,151,0.53,1968,23,0
Haryana,8,3060,0,122,836,303,31,0,991,208,114,290,7,0.18,1836,22,1
Haryana,8.83,3080,96,378,631,195,20,0,410,36,78,536,15,0.83,1848,18,0
Haryana,8.55,1730,48,196,361,178,20,0,350,88,32,274,14,0.69,1038,24,0
Haryana,8.07,13920,0,293,3424,1825,3.8,0,3223,393,545,1680,85,0.55,8352,24,0
Haryana,7.46,3800,0,195,1049,349,11,0,1511,317,175,231,12,0.27,2280,25,0
Haryana,8.08,6930,0,146,1524,1258,7.4,0,1371,152,241,670,601,0.27,4158,18,0
Haryana,7.55,3770,0,220,850,568,7.4,0,800,152,102,536,20,0.2,2262,19,0
Haryana,8.08,790,0,159,205,6,32,0,320,100,17,61,1.3,0,474,28,1
Haryana,8.01,3100,0,146,723,516,8.2,0,721,116,105,403,79,0.29,1860,24,0
Haryana,8.22,3200,0,207,865,318,8.5,0,690,68,126,475,10,0.08,1920,23,1
Haryana,8.5,1250,48,147,269,126,14,0,330,48,51,183,4,0.1,750,27,1
Haryana,8.22,214,0,122,42,0,0.8,0,130,40,7,14,1.1,0.24,128.4,15,1
Haryana,7.52,7220,0,366,2091,510,5.4,0,2362,260,416,638,39,0.24,4332,18,0
Haryana,8.33,536,36,110,113,0,19,0,260,40,39,29,3,0.32,321.6,27,1
Haryana,7.94,3650,0,73,1297,0,21,0,800,212,66,508,9.5,0,2190,19,1
Haryana,7.51,6280,0,281,1963,140,9.1,0,1631,373,170,705,3,0,3768,21,0
Haryana,9.06,1875,120,586,184,40,32,0,250,60,24,341,13,0.35,1125,29,0
Haryana,8.94,1339,120,293,184,0,33,0,250,48,32,215,7,0.34,803.4,28,0
Haryana,8.12,2490,0,354,454,327,35,0,961,208,107,156,6,0.59,1494,16,1
Haryana,8.36,4670,48,159,1368,223,28,0,900,152,126,690,28,0.82,2802,27,0
Haryana,8.57,776,72,171,106,57,25,0,260,56,29,105.2,3.1,0.21,465.6,18,1
Haryana,8.24,200,0,98,57,0,0,0,120,32,10,19,0,0.16,120,24,1
Haryana,7.84,7240,0,220,2240,332,24,0,1962,377,248,785,40,0.55,4344,24,0
Haryana,8.07,732,0,207,141,38,22,0,300,60,36,60.2,2.1,0.26,439.2,27,1
Haryana,8.9,6630,252,830,1078,700,38,0,330,40,56,1378,48,0.72,3978,18,0
Haryana,8.21,3850,0,220,560,1004,26,0,650,64,119,617,42,0,2310,34,0
Haryana,8.63,4270,84,452,936,310,40,0,490,52,88,778,38,0.59,2562,21,0
Haryana,8.84,1311,108,256,226,37,0.9,0,360,52,56,181,4,0.35,786.6,20,0
Haryana,7.74,4970,0,330,1404,285,60,0,1471,257,202,511,18,0,2982,20,0
Haryana,8.64,4300,84,269,1281,0,25,0,460,571,78,782,37,0.34,2580,19,0
Haryana,8.65,1786,84,232,347,130,22,0,370,34,56,274,10,0.21,1071.6,27,0
Haryana,8.89,1520,144,354,227,0,29,0,250,40,46,279,17,0.41,912,25,0
Haryana,8.07,5160,0,207,1063,895,70,0,220,64,15,1091,64,0.71,3096,13,0
Haryana,8.8,580,72,183,56,6.7,14,0,220,12,46,70.7,2.7,1.96,348,15,0
Haryana,8.45,2340,60,159,574,218,0,0,650,44,131,290,9,0.81,1404,18,0
Haryana,8.61,3860,60,281,950,289,22,0,680,84,114,591,34,0.62,2316,25,0
Haryana,8.2,360,0,159,57,5.8,24,0,140,40,9.72,44,3,0.08,216,23,1
Haryana,8.43,283,24,73,21,13,15,0,110,32,7.29,21,0,0.12,169.8,21,1
Haryana,8.17,533,0,134,50,50,52,0,200,52,17,35,1.7,0.28,319.8,19,1
Haryana,8.28,404,0,159,21,36,16,0,150,32,17,28,1.1,0.28,242.4,21,1
Haryana,8.15,410,0,183,28,17,15,0,170,44,15,24,0,0.06,246,17,1
Haryana,8.55,339,36,61,21,28,19,0,110,16,19,35,0,0,203.4,19,1
Haryana,8.43,264,24,49,28,3.4,25,0,100,24,9.72,19.4,2.1,0,158.4,24,1
Haryana,8.56,384,36,85,28,21,18,0,146,12,27,29,0,0.12,230.4,21,1
Haryana,8.27,369,0,159,21,20,18,0,120,16,19,36,0,0,221.4,23,1
Haryana,8.38,846,36,98,78,104,120,0,180,32,24,128,3.6,0.2,507.6,17,1
Haryana,8.73,430,48,146,21,22,9,0,120,12,22,65,1.2,0.12,258,26,1
Haryana,8.46,1826,60,354,277,116,29,0,370,32,70,261,6.5,0.88,1095.6,26,0
Haryana,8.69,601,48,207,21,28,0,0,60,12,7.29,114,4,0.28,360.6,19,1
Haryana,8.66,545,36,244,21,8.6,13,0,110,12,20,94.2,0,0.3,327,23,1
Haryana,8.53,1753,48,207,170,274,135,0,400,16,88,230,0,0.53,1051.8,22,0
Haryana,8.69,721,48,256,28,98,0.7,0,50,8,7.29,175,5.6,0.8,432.6,16,1
Haryana,7.91,2870,0,195,602,392,45,0,681,64,126,250,201,0.3,1722,21,0
Haryana,7.75,5900,0,122,1021,1339,35,0,1561,196,260,664,2,0.39,3540,24,0
Haryana,8.13,2500,0,183,468,438,8.8,0,540,68,90,275,122,0.24,1500,12,0
Haryana,8.77,2030,60,317,163,411,0,0,180,28,27,384,6,0.95,1218,15,0
Haryana,8.03,4100,0,281,553,969,48,0,971,8,187,498,8,0.26,2460,10,0
